Date,Year,Month,Day,Weekday,Week_Number,Year_Week,Open,High,Low,Close,Volume,Return,Short_MA,Long_MA
2025-01-02,2025,1,2,Thursday,00,2025-00,586.82,601.93,584.93,596.29,12682300,0.0,596.29,596.29
2025-01-03,2025,1,3,Friday,00,2025-00,601.79,606.5,593.48,601.66,11436800,0.008994683540676007,598.9749999999999,598.9749999999999
2025-01-06,2025,1,6,Monday,01,2025-01,608.82,627.89,602.64,627.1,14560800,0.04229028859648998,608.35,608.35
2025-01-07,2025,1,7,Tuesday,01,2025-01,628.59,628.99,605.24,614.85,12071500,-0.019533476024372387,609.975,609.975
2025-01-08,2025,1,8,Wednesday,01,2025-01,610.38,613.41,599.83,607.72,10085800,-0.011603957942836973,609.524,609.524
2025-01-10,2025,1,10,Friday,01,2025-01,607.03,626.81,594.4,612.83,19256600,0.008416138360599623,610.0749999999999,610.0749999999999
2025-01-13,2025,1,13,Monday,02,2025-02,604.11,605.97,595.51,605.34,10785000,-0.012226733784693189,609.3985714285715,609.3985714285715
2025-01-14,2025,1,14,Tuesday,02,2025-02,602.09,602.51,585.66,591.33,13598000,-0.02314532262362723,607.14,607.14
2025-01-15,2025,1,15,Wednesday,02,2025-02,607.21,619.4,603.52,614.08,15524300,0.03848547294908666,607.911111111111,607.911111111111
2025-01-16,2025,1,16,Thursday,02,2025-02,608.49,613.22,606.71,608.29,8355300,-0.009430916740846285,607.949,607.949
2025-01-17,2025,1,17,Friday,02,2025-02,620.98,621.9,600.7,609.76,17280600,0.0024047091602301673,608.1136363636364,608.1136363636364
2025-01-21,2025,1,21,Tuesday,03,2025-03,614.79,618.44,606.01,613.43,11674000,0.006021874941192662,608.5566666666667,608.5566666666667
2025-01-22,2025,1,22,Wednesday,03,2025-03,620.23,630.58,616.38,620.43,12274000,0.011419938939768004,609.47,609.47
2025-01-23,2025,1,23,Thursday,03,2025-03,624.27,633.47,618.09,633.32,9910200,0.02076992446468484,611.1735714285714,611.1735714285714
2025-01-24,2025,1,24,Friday,03,2025-03,633.27,648.79,631.08,644.31,19065300,0.01734614880879115,614.6035714285715,613.3826666666666
2025-01-27,2025,1,27,Monday,04,2025-04,623.53,660.6,622.03,656.63,28399200,0.019135590905069222,618.53,616.085625
2025-01-28,2025,1,28,Tuesday,04,2025-04,662.72,679.22,656.23,671.01,20950100,0.021897885530045125,621.6664285714286,619.3164705882352
2025-01-29,2025,1,29,Wednesday,04,2025-04,671.68,677.7,662.4,673.16,21377800,0.0032031448761098424,625.8314285714285,622.3077777777778
2025-01-30,2025,1,30,Thursday,04,2025-04,693.39,707.29,672.77,683.62,29322900,0.015536084637202352,631.2528571428572,625.5347368421053
2025-01-31,2025,1,31,Friday,04,2025-04,687.6,701.83,682.21,685.79,19303900,0.003173176927670829,636.4642857142857,628.5475
2025-02-03,2025,2,3,Monday,05,2025-05,672.59,700.54,671.93,694.03,21415700,0.012014430773688911,642.7992857142857,631.6657142857142
2025-02-04,2025,2,4,Tuesday,05,2025-05,699.04,704.23,688.21,700.73,13826300,0.009649298539035511,650.6135714285714,634.805
2025-02-05,2025,2,5,Wednesday,05,2025-05,700.09,714.61,695.57,701.4,17778200,0.0009655331241011922,656.8507142857143,637.7004347826087
2025-02-06,2025,2,6,Thursday,05,2025-05,702.41,715.36,700.04,708.49,13080700,0.010101212265557713,664.007857142857,640.65
2025-02-07,2025,2,7,Friday,05,2025-05,713.27,721.44,708.25,711.01,16427100,0.0035533650876518053,671.2399999999999,643.4644000000001
2025-02-10,2025,2,10,Monday,06,2025-06,715.03,717.65,707.83,713.87,12904300,0.004030605924895347,678.4142857142858,646.1723076923076
2025-02-11,2025,2,11,Tuesday,06,2025-06,709.81,720.1,706.55,716.26,12998000,0.003345482713424275,685.2592857142857,648.7681481481482
2025-02-12,2025,2,12,Wednesday,06,2025-06,711.78,723.52,709.1,721.81,12016500,0.007752233259955776,691.58,651.3767857142857
2025-02-13,2025,2,13,Thursday,06,2025-06,717.97,725.41,714.51,724.98,12569100,0.0043838357514303095,697.3421428571428,653.9148275862069
2025-02-14,2025,2,14,Friday,06,2025-06,722.57,737.27,722.05,733.05,16901200,0.011131487688559538,702.8007142857142,656.5526666666666
